afrentando,WnMS,2006
permitiendo,WnMS,2070
comparando,WnMS,2021
puliendo,WMS,1056
jaleando,WnMS,2057
recelando,WnMS,2075
tastando,nWnMS,2528
masajeando,WMS,1048
juzgando,WnMS,2058
plesiendo,nWnMS,2520
cazando,WMS,1018
asegurando,WnMS,2014
roniando,nWMS,1524
irmadiendo,nWnMS,2518
admirando,WnMS,2002
abanicando,WMS,1000
perdiendo,WnMS,2069
cayendo,WMS,1017
tornando,WMS,1085
cubriendo,WMS,1026
alardeando,WnMS,2007
sevorando,nWnMS,2526
creciendo,WnMS,2025
cerrando,WMS,1019
dostiendo,nWMS,1514
enjuagando,WMS,1031
amenizando,WnMS,2011
eludiendo,WnMS,2037
lusando,nWMS,1517
chagando,nWnMS,2507
lamentando,WnMS,2059
adorando,WnMS,2004
dellecando,nWMS,1511
suponiendo,WnMS,2082
podando,WMS,1053
consumiendo,WMS,1024
bacurando,nWMS,1504
fasantando,nWnMS,2514
trucando,WnMS,2091
imaginando,WnMS,2052
marchando,WMS,1047
cutruendo,nWMS,1509
gestando,WnMS,2047
impidiendo,WnMS,2053
sabando,nWMS,1525
imnontando,nWnMS,2517
circulando,WMS,1021
rasurando,WMS,1059
tentando,WnMS,2085
acoriendo,nWMS,1500
constatando,WnMS,2024
bostezando,WMS,1013
sontuendo,nWnMS,2527
valiendo,WnMS,2094
deromiendo,nWMS,1512
inventando,WnMS,2056
suturando,WMS,1074
gozando,WnMS,2048
sintiendo,WnMS,2079
bamoceando,nWMS,1505
rajando,WMS,1057
admitiendo,WnMS,2003
cosmando,nWMS,1508
tronchando,WMS,1091
intentando,WnMS,2054
avopiendo,nWnMS,2504
protegiendo,WnMS,2072
odiando,WnMS,2064
trascando,nWMS,1527
colgando,WMS,1022
tocando,WMS,1082
amañando,WnMS,2010
asolando,WnMS,2015
hidiendo,nWMS,1515
coscirando,nWnMS,2508
saldando,WnMS,2078
decidiendo,WnMS,2029
escurriendo,WMS,1033
taconeando,WMS,1075
emnepando,nWnMS,2512
trayendo,WMS,1087
sujetando,WMS,1073
ecoriendo,nWnMS,2511
ilustrando,WMS,1043
rabiando,WnMS,2074
fundando,WnMS,2045
vengando,WnMS,2098
tropezando,WMS,1092
reradiendo,nWnMS,2523
turbando,WnMS,2092
cosiendo,WMS,1025
acudiendo,WMS,1002
apuntando,WMS,1005
dudando,WnMS,2034
detestando,WnMS,2031
trincando,WMS,1088
diciendo,WMS,1028
ignorando,WnMS,2051
anhelando,WnMS,2012
mabando,nWMS,1518
tratando,WnMS,2089
olvidando,WnMS,2065
abriendo,WMS,1001
prensando,WMS,1055
tañiendo,WMS,1077
saceciendo,nWnMS,2524
resbalando,WMS,1065
aspirando,WMS,1009
bateando,WMS,1011
ganando,WnMS,2046
cacheando,WMS,1015
viniendo,WMS,1094
tunzando,nWnMS,2529
excavando,WMS,1034
rebanando,WMS,1060
distrayendo,WnMS,2032
vistiendo,WMS,1095
eructando,WMS,1032
atando,WMS,1010
triturando,WMS,1089
noceando,nWMS,1521
pareciendo,WnMS,2066
asiendo,WMS,1007
mantrando,nWMS,1519
reinando,WnMS,2076
taponando,WMS,1079
promoviendo,WnMS,2071
tiritando,WMS,1081
sellando,WMS,1068
empuñando,WMS,1030
timando,WnMS,2087
exigiendo,WnMS,2041
llamando,WMS,1045
conduciendo,WMS,1023
cumpliendo,WnMS,2027
deseando,WnMS,2030
adivinando,WnMS,2001
echando,WMS,1029
pecando,WnMS,2067
hilando,WMS,1042
atrayendo,WnMS,2017
velando,WnMS,2096
entendiendo,WnMS,2040
acaando,nWnMS,2500
asumiendo,WnMS,2016
desfilando,WMS,1027
sumando,WnMS,2081
tensando,WMS,1080
campiando,nWnMS,2506
urgiendo,WnMS,2093
sarcando,nWnMS,2525
zapateando,WMS,1097
afeando,WnMS,2005
intuyendo,WnMS,2055
subrayando,WMS,1072
chirriando,WMS,1020
rociando,WMS,1066
allistando,nWnMS,2502
saliendo,WMS,1067
acostando,nWMS,1501
tuvenando,nWMS,1529
zurrando,WMS,1099
catando,WMS,1016
gruñiendo,WMS,1041
trirriando,nWMS,1528
girando,WMS,1039
sonriendo,WMS,1071
zurciendo,WMS,1098
terminando,WnMS,2086
hovando,nWnMS,2516
creyendo,WnMS,2026
amando,WnMS,2009
braceando,WMS,1014
rasgando,WMS,1058
tariendo,nWMS,1526
soldando,WMS,1070
firmando,WMS,1036
valorando,WnMS,2095
pensando,WnMS,2068
acogiendo,WnMS,2000
alzando,WMS,1003
queriendo,WnMS,2073
taladrando,WMS,1076
aplaudiendo,WMS,1004
existiendo,WnMS,2042
poniendo,WMS,1054
recogiendo,WMS,1062
amainando,WnMS,2008
rapiando,nWnMS,2522
asintiendo,WMS,1008
triunfando,WnMS,2090
enfermando,WnMS,2038
reclinando,WMS,1061
nirando,nWMS,1520
clicurando,nWMS,1506
gucando,nWnMS,2515
tomando,WMS,1083
ayunando,WnMS,2018
dariendo,nWnMS,2509
midiendo,WMS,1049
añorando,WnMS,2013
dividiendo,WnMS,2033
conuendo,nWMS,1507
sobando,WMS,1069
golpeando,WMS,1040
decopiendo,nWMS,1510
anuendo,nWMS,1503
ilombrando,nWMS,1516
borrando,WMS,1012
mordiendo,WMS,1050
vetando,WnMS,2099
heredando,WnMS,2049
venciendo,WnMS,2097
omnadando,nWnMS,2519
logrando,WnMS,2060
prernando,nWMS,1523
soñando,WnMS,2080
avotando,nWnMS,2505
gimiendo,WMS,1038
mejorando,WnMS,2062
lustrando,WMS,1046
tramando,WnMS,2088
confiando,WnMS,2022
notando,WnMS,2063
tapando,WMS,1078
eligiendo,WnMS,2036
pegando,WMS,1052
fancando,nWnMS,2513
decayendo,WnMS,2028
comenzando,WnMS,2020
ideando,WnMS,2050
levantando,WMS,1044
asibando,nWnMS,2503
repasando,WnMS,2077
denesando,nWnMS,2510
tragando,WMS,1086
toreando,WMS,1084
plasando,nWMS,1522
temiendo,WnMS,2084
fardando,WnMS,2043
desvasando,nWMS,1513
troceando,WMS,1090
luciendo,WnMS,2061
fumando,WMS,1037
tardando,WnMS,2083
paleando,WMS,1051
educando,WnMS,2035
extrayendo,WMS,1035
ungiendo,WMS,1093
enseñando,WnMS,2039
voceando,WMS,1096
amacinando,nWMS,1502
procoquendo,nWnMS,2521
ascendiendo,WMS,1006
cambiando,WnMS,2019
acozando,nWnMS,2501
fiando,WnMS,2044
regresando,WMS,1063
conociendo,WnMS,2023
removiendo,WMS,1064