promoviendo,WnMS,2071,-,-
tiritando,WMS,1081,-,-
sellando,WMS,1068,-,-
pareciendo,WnMS,2066,Pregunta,No
empuñando,WMS,1030,-,-
taponando,WMS,1079,-,-
asiendo,WMS,1007,-,-
mantrando,nWMS,1519,-,-
cacheando,WMS,1015,-,-
reinando,WnMS,2076,-,-
vistiendo,WMS,1095,Pregunta,Si
noceando,nWMS,1521,-,-
eructando,WMS,1032,-,-
triturando,WMS,1089,-,-
atando,WMS,1010,-,-
distrayendo,WnMS,2032,Pregunta,No
viniendo,WMS,1094,-,-
tunzando,nWnMS,2529,-,-
excavando,WMS,1034,-,-
rebanando,WMS,1060,-,-
saceciendo,nWnMS,2524,-,-
resbalando,WMS,1065,-,-
aspirando,WMS,1009,-,-
bateando,WMS,1011,-,-
ganando,WnMS,2046,-,-
tañiendo,WMS,1077,-,-
olvidando,WnMS,2065,-,-
abriendo,WMS,1001,-,-
prensando,WMS,1055,-,-
tratando,WnMS,2089,Pregunta,No
diciendo,WMS,1028,-,-
ignorando,WnMS,2051,-,-
anhelando,WnMS,2012,-,-
mabando,nWMS,1518,-,-
trincando,WMS,1088,-,-
acudiendo,WMS,1002,-,-
apuntando,WMS,1005,-,-
dudando,WnMS,2034,-,-
detestando,WnMS,2031,Pregunta,No
cosiendo,WMS,1025,-,-
vengando,WnMS,2098,-,-
tropezando,WMS,1092,-,-
reradiendo,nWnMS,2523,-,-
turbando,WnMS,2092,-,-
fundando,WnMS,2045,-,-
sujetando,WMS,1073,Pregunta,Si
ecoriendo,nWnMS,2511,-,-
ilustrando,WMS,1043,-,-
rabiando,WnMS,2074,Pregunta,No
trayendo,WMS,1087,-,-
saldando,WnMS,2078,-,-
decidiendo,WnMS,2029,-,-
escurriendo,WMS,1033,-,-
taconeando,WMS,1075,-,-
protegiendo,WnMS,2072,-,-
emnepando,nWnMS,2512,-,-
amañando,WnMS,2010,-,-
rajando,WMS,1057,-,-
asolando,WnMS,2015,-,-
hidiendo,nWMS,1515,-,-
coscirando,nWnMS,2508,-,-
tocando,WMS,1082,-,-
odiando,WnMS,2064,Pregunta,No
trascando,nWMS,1527,-,-
colgando,WMS,1022,-,-
tronchando,WMS,1091,-,-
avopiendo,nWnMS,2504,-,-
admitiendo,WnMS,2003,-,-
cosmando,nWMS,1508,-,-
intentando,WnMS,2054,-,-
suturando,WMS,1074,-,-
gozando,WnMS,2048,Pregunta,No
sintiendo,WnMS,2079,-,-
bamoceando,nWMS,1505,-,-
inventando,WnMS,2056,-,-
bostezando,WMS,1013,-,-
sontuendo,nWnMS,2527,-,-
valiendo,WnMS,2094,-,-
deromiendo,nWMS,1512,-,-
constatando,WnMS,2024,-,-
circulando,WMS,1021,Pregunta,Si
rasurando,WMS,1059,-,-
tentando,WnMS,2085,-,-
acoriendo,nWMS,1500,-,-
imnontando,nWnMS,2517,-,-
cutruendo,nWMS,1509,-,-
gestando,WnMS,2047,-,-
impidiendo,WnMS,2053,-,-
sabando,nWMS,1525,-,-
marchando,WMS,1047,-,-
bacurando,nWMS,1504,-,-
fasantando,nWnMS,2514,-,-
trucando,WnMS,2091,-,-
imaginando,WnMS,2052,-,-
consumiendo,WMS,1024,-,-
adorando,WnMS,2004,-,-
dellecando,nWMS,1511,-,-
suponiendo,WnMS,2082,-,-
podando,WMS,1053,Pregunta,Si
lamentando,WnMS,2059,-,-
amenizando,WnMS,2011,-,-
eludiendo,WnMS,2037,-,-
lusando,nWMS,1517,-,-
chagando,nWnMS,2507,-,-
perdiendo,WnMS,2069,-,-
enjuagando,WMS,1031,-,-
sevorando,nWnMS,2526,-,-
creciendo,WnMS,2025,Pregunta,No
cerrando,WMS,1019,-,-
dostiendo,nWMS,1514,-,-
alardeando,WnMS,2007,-,-
cayendo,WMS,1017,-,-
tornando,WMS,1085,-,-
cubriendo,WMS,1026,Pregunta,Si
abanicando,WMS,1000,-,-
asegurando,WnMS,2014,-,-
roniando,nWMS,1524,-,-
irmadiendo,nWnMS,2518,-,-
admirando,WnMS,2002,Pregunta,No
cazando,WMS,1018,-,-
tastando,nWnMS,2528,-,-
masajeando,WMS,1048,-,-
juzgando,WnMS,2058,-,-
plesiendo,nWnMS,2520,-,-
acozando,nWnMS,2501,-,-
recelando,WnMS,2075,-,-
permitiendo,WnMS,2070,-,-
comparando,WnMS,2021,-,-
puliendo,WMS,1056,-,-
jaleando,WnMS,2057,-,-
afrentando,WnMS,2006,-,-
fiando,WnMS,2044,-,-
regresando,WMS,1063,-,-
conociendo,WnMS,2023,Pregunta,No
removiendo,WMS,1064,-,-
amacinando,nWMS,1502,-,-
procoquendo,nWnMS,2521,-,-
ascendiendo,WMS,1006,-,-
cambiando,WnMS,2019,-,-
voceando,WMS,1096,Pregunta,Si
educando,WnMS,2035,-,-
extrayendo,WMS,1035,-,-
ungiendo,WMS,1093,Pregunta,Si
enseñando,WnMS,2039,-,-
paleando,WMS,1051,-,-
troceando,WMS,1090,-,-
luciendo,WnMS,2061,-,-
fumando,WMS,1037,-,-
tardando,WnMS,2083,-,-
desvasando,nWMS,1513,-,-
toreando,WMS,1084,-,-
plasando,nWMS,1522,-,-
temiendo,WnMS,2084,Pregunta,No
fardando,WnMS,2043,-,-
tragando,WMS,1086,-,-
levantando,WMS,1044,-,-
asibando,nWnMS,2503,-,-
repasando,WnMS,2077,-,-
denesando,nWnMS,2510,-,-
ideando,WnMS,2050,-,-
pegando,WMS,1052,Pregunta,Si
fancando,nWnMS,2513,-,-
decayendo,WnMS,2028,-,-
comenzando,WnMS,2020,-,-
avotando,nWnMS,2505,-,-
eligiendo,WnMS,2036,-,-
tramando,WnMS,2088,-,-
confiando,WnMS,2022,-,-
tapando,WMS,1078,-,-
notando,WnMS,2063,-,-
lustrando,WMS,1046,-,-
soñando,WnMS,2080,Pregunta,No
gimiendo,WMS,1038,-,-
mejorando,WnMS,2062,-,-
prernando,nWMS,1523,-,-
heredando,WnMS,2049,-,-
venciendo,WnMS,2097,-,-
omnadando,nWnMS,2519,-,-
logrando,WnMS,2060,-,-
vetando,WnMS,2099,-,-
anuendo,nWMS,1503,-,-
ilombrando,nWMS,1516,-,-
borrando,WMS,1012,Pregunta,Si
mordiendo,WMS,1050,-,-
decopiendo,nWMS,1510,-,-
dividiendo,WnMS,2033,-,-
conuendo,nWMS,1507,-,-
sobando,WMS,1069,-,-
golpeando,WMS,1040,-,-
añorando,WnMS,2013,-,-
tomando,WMS,1083,Pregunta,Si
ayunando,WnMS,2018,-,-
dariendo,nWnMS,2509,-,-
midiendo,WMS,1049,-,-
gucando,nWnMS,2515,-,-
enfermando,WnMS,2038,-,-
reclinando,WMS,1061,-,-
nirando,nWMS,1520,-,-
clicurando,nWMS,1506,-,-
triunfando,WnMS,2090,Pregunta,No
recogiendo,WMS,1062,-,-
amainando,WnMS,2008,-,-
rapiando,nWnMS,2522,-,-
asintiendo,WMS,1008,-,-
poniendo,WMS,1054,-,-
queriendo,WnMS,2073,-,-
taladrando,WMS,1076,-,-
aplaudiendo,WMS,1004,Pregunta,Si
existiendo,WnMS,2042,-,-
alzando,WMS,1003,-,-
firmando,WMS,1036,-,-
valorando,WnMS,2095,-,-
pensando,WnMS,2068,-,-
acogiendo,WnMS,2000,-,-
soldando,WMS,1070,-,-
amando,WnMS,2009,-,-
braceando,WMS,1014,-,-
rasgando,WMS,1058,-,-
tariendo,nWMS,1526,-,-
creyendo,WnMS,2026,-,-
sonriendo,WMS,1071,-,-
zurciendo,WMS,1098,Pregunta,Si
hovando,nWnMS,2516,-,-
girando,WMS,1039,-,-
terminando,WnMS,2086,-,-
zurrando,WMS,1099,-,-
catando,WMS,1016,-,-
sarcando,nWnMS,2525,-,-
gruñiendo,WMS,1041,-,-
trirriando,nWMS,1528,-,-
atrayendo,WnMS,2017,Pregunta,No
tuvenando,nWMS,1529,-,-
rociando,WMS,1066,-,-
allistando,nWnMS,2502,-,-
saliendo,WMS,1067,-,-
acostando,nWMS,1501,-,-
chirriando,WMS,1020,-,-
zapateando,WMS,1097,-,-
afeando,WnMS,2005,-,-
conduciendo,WMS,1023,-,-
intuyendo,WnMS,2055,-,-
subrayando,WMS,1072,-,-
sumando,WnMS,2081,-,-
tensando,WMS,1080,Pregunta,Si
campiando,nWnMS,2506,-,-
urgiendo,WnMS,2093,-,-
desfilando,WMS,1027,Pregunta,Si
velando,WnMS,2096,-,-
entendiendo,WnMS,2040,-,-
acaando,nWnMS,2500,-,-
asumiendo,WnMS,2016,-,-
echando,WMS,1029,-,-
pecando,WnMS,2067,-,-
hilando,WMS,1042,Pregunta,Si
deseando,WnMS,2030,-,-
exigiendo,WnMS,2041,-,-
llamando,WMS,1045,-,-
cumpliendo,WnMS,2027,Pregunta,No
timando,WnMS,2087,-,-
adivinando,WnMS,2001,-,-
